date,year,month,gpr_global,gpr_historical,GPRHC_ARG,GPRHC_AUS,GPRHC_BEL,GPRHC_BRA,GPRHC_CAN,GPRHC_CHE,GPRHC_CHL,GPRHC_CHN,GPRHC_COL,GPRHC_DEU,GPRHC_DNK,GPRHC_EGY,GPRHC_ESP,GPRHC_FIN,GPRHC_FRA,GPRHC_GBR,GPRHC_HKG,GPRHC_HUN,GPRHC_IDN,GPRHC_IND,GPRHC_ISR,GPRHC_ITA,GPRHC_JPN,GPRHC_KOR,GPRHC_MEX,GPRHC_MYS,GPRHC_NLD,GPRHC_NOR,GPRHC_PER,GPRHC_PHL,GPRHC_POL,GPRHC_PRT,GPRHC_RUS,GPRHC_SAU,GPRHC_SWE,GPRHC_THA,GPRHC_TUN,GPRHC_TUR,GPRHC_TWN,GPRHC_UKR,GPRHC_USA,GPRHC_VEN,GPRHC_VNM,GPRHC_ZAF
2020-01-01,2020,1,138.4209442138672,104.52386474609375,0.015710918232798576,0.2513746917247772,0.1885310262441635,0.015710918232798576,0.2356637865304947,0.09426551312208176,0.04713275656104088,0.89552241563797,0.09426551312208176,0.754124104976654,0.015710918232798576,0.1885310262441635,0.0628436729311943,0.0,1.021209716796875,0.8798114657402039,0.10997643321752548,0.03142183646559715,0.03142183646559715,0.1885310262441635,0.6127258539199829,0.2513746917247772,0.2513746917247772,0.5341712236404419,0.14139826595783234,0.07855459302663803,0.1728201061487198,0.04713275656104088,0.04713275656104088,0.03142183646559715,0.04713275656104088,0.0,1.1311861276626587,0.8798114657402039,0.04713275656104088,0.09426551312208176,0.0,0.5184603333473206,0.04713275656104088,0.4084838926792145,3.770620584487915,0.1885310262441635,0.1885310262441635,0.0
2020-02-01,2020,2,75.95555877685547,62.85643768310547,0.0,0.16431152820587158,0.08215576410293579,0.016431152820587158,0.1971738487482071,0.09858692437410355,0.016431152820587158,1.0351626873016357,0.032862305641174316,0.44364115595817566,0.016431152820587158,0.1971738487482071,0.13144922256469727,0.016431152820587158,0.47650346159935,0.4272100031375885,0.18074268102645874,0.04929346218705177,0.032862305641174316,0.2300361543893814,0.16431152820587158,0.29576075077056885,0.4272100031375885,0.29576075077056885,0.04929346218705177,0.08215576410293579,0.09858692437410355,0.04929346218705177,0.016431152820587158,0.09858692437410355,0.08215576410293579,0.0,0.7558330297470093,0.2300361543893814,0.04929346218705177,0.08215576410293579,0.016431152820587158,0.41077885031700134,0.08215576410293579,0.2300361543893814,2.2674992084503174,0.16431152820587158,0.08215576410293579,0.016431152820587158
2020-03-01,2020,3,81.54003143310547,80.56129455566406,0.015057973563671112,0.07528986781835556,0.07528986781835556,0.030115947127342224,0.21081162989139557,0.10540581494569778,0.015057973563671112,0.9335943460464478,0.045173920691013336,0.376449316740036,0.015057973563671112,0.15057973563671112,0.2710435092449188,0.030115947127342224,0.33127540349960327,0.6173769235610962,0.10540581494569778,0.015057973563671112,0.015057973563671112,0.16563770174980164,0.19575364887714386,0.511971116065979,0.31621742248535156,0.3915072977542877,0.18069568276405334,0.015057973563671112,0.07528986781835556,0.015057973563671112,0.030115947127342224,0.07528986781835556,0.045173920691013336,0.015057973563671112,0.40656527876853943,0.10540581494569778,0.045173920691013336,0.045173920691013336,0.0,0.21081162989139557,0.045173920691013336,0.015057973563671112,2.845957040786743,0.1355217546224594,0.15057973563671112,0.045173920691013336
2020-04-01,2020,4,69.33940124511719,67.53959655761719,0.04539951682090759,0.10593220591545105,0.03026634454727173,0.18159806728363037,0.04539951682090759,0.015133172273635864,0.0,0.9231234788894653,0.06053268909454346,0.1664648950099945,0.07566586136817932,0.09079903364181519,0.22699758410453796,0.03026634454727173,0.36319613456726074,0.332929790019989,0.09079903364181519,0.015133172273635864,0.06053268909454346,0.19673123955726624,0.10593220591545105,0.22699758410453796,0.18159806728363037,0.18159806728363037,0.09079903364181519,0.03026634454727173,0.015133172273635864,0.06053268909454346,0.04539951682090759,0.03026634454727173,0.07566586136817932,0.0,0.43886199593544006,0.1664648950099945,0.03026634454727173,0.015133172273635864,0.0,0.12106537818908691,0.06053268909454346,0.09079903364181519,2.406174421310425,0.12106537818908691,0.09079903364181519,0.0
2020-05-01,2020,5,68.50721740722656,75.35385131835938,0.0,0.10121457278728485,0.08675535023212433,0.043377675116062164,0.11567380279302597,0.08675535023212433,0.014459225349128246,1.084441900253296,0.0722961276769638,0.36148062348365784,0.0,0.08675535023212433,0.1301330178976059,0.028918450698256493,0.2747252881526947,0.4916136562824249,0.4193175137042999,0.0,0.0,0.2747252881526947,0.08675535023212433,0.0722961276769638,0.08675535023212433,0.2747252881526947,0.15905147790908813,0.057836901396512985,0.043377675116062164,0.014459225349128246,0.014459225349128246,0.014459225349128246,0.043377675116062164,0.014459225349128246,0.3903990685939789,0.10121457278728485,0.028918450698256493,0.0722961276769638,0.0,0.1301330178976059,0.24580682814121246,0.1301330178976059,2.7038750648498535,0.11567380279302597,0.1301330178976059,0.028918450698256493
2020-06-01,2020,6,71.22785949707031,64.8608627319336,0.030585715547204018,0.07646428793668747,0.061171431094408035,0.07646428793668747,0.15292857587337494,0.0,0.0,0.6881785988807678,0.0,0.19880715012550354,0.0,0.0458785742521286,0.061171431094408035,0.015292857773602009,0.3058571517467499,0.5199571847915649,0.2752714455127716,0.030585715547204018,0.030585715547204018,0.33644288778305054,0.10705000907182693,0.061171431094408035,0.10705000907182693,0.25997859239578247,0.10705000907182693,0.061171431094408035,0.07646428793668747,0.015292857773602009,0.030585715547204018,0.07646428793668747,0.061171431094408035,0.0458785742521286,0.5658357739448547,0.0917571485042572,0.030585715547204018,0.0,0.015292857773602009,0.1376357227563858,0.07646428793668747,0.15292857587337494,2.3398072719573975,0.10705000907182693,0.1376357227563858,0.0
2020-07-01,2020,7,66.47328186035156,61.819679260253906,0.029537733644247055,0.14768867194652557,0.04430660232901573,0.05907546728849411,0.14768867194652557,0.029537733644247055,0.029537733644247055,0.8861320614814758,0.04430660232901573,0.22153301537036896,0.014768866822123528,0.07384433597326279,0.04430660232901573,0.014768866822123528,0.3396839499473572,0.3987594246864319,0.36922168731689453,0.029537733644247055,0.07384433597326279,0.23630186915397644,0.2510707378387451,0.1329198032617569,0.1919952780008316,0.29537734389305115,0.08861320465803146,0.04430660232901573,0.014768866822123528,0.0,0.07384433597326279,0.07384433597326279,0.029537733644247055,0.0,0.42829716205596924,0.1329198032617569,0.029537733644247055,0.014768866822123528,0.014768866822123528,0.05907546728849411,0.10338207334280014,0.05907546728849411,2.215330123901367,0.08861320465803146,0.05907546728849411,0.014768866822123528
2020-08-01,2020,8,65.46604919433594,55.42536544799805,0.0,0.11425307393074036,0.07140816748142242,0.07140816748142242,0.08568980544805527,0.02856326848268509,0.0,0.5569837093353271,0.042844902724027634,0.42844900488853455,0.0,0.11425307393074036,0.09997143596410751,0.042844902724027634,0.47129392623901367,0.5712653398513794,0.19994287192821503,0.02856326848268509,0.02856326848268509,0.1570979654788971,0.2570694088935852,0.08568980544805527,0.24278777837753296,0.18566124141216278,0.17137961089611053,0.042844902724027634,0.02856326848268509,0.0,0.014281634241342545,0.02856326848268509,0.08568980544805527,0.0,0.7140817046165466,0.21422450244426727,0.02856326848268509,0.02856326848268509,0.014281634241342545,0.1285347044467926,0.014281634241342545,0.24278777837753296,1.9851471185684204,0.1570979654788971,0.014281634241342545,0.042844902724027634
2020-09-01,2020,9,80.37738037109375,59.53417205810547,0.02982848696410656,0.19388516247272491,0.1640566736459732,0.044742729514837265,0.20879940688610077,0.02982848696410656,0.0,0.6860551834106445,0.01491424348205328,0.5219985246658325,0.01491424348205328,0.11931394785642624,0.07457121461629868,0.01491424348205328,0.700969398021698,0.47725579142570496,0.1342281848192215,0.0,0.02982848696410656,0.10439970344305038,0.23862789571285248,0.14914242923259735,0.19388516247272491,0.20879940688610077,0.11931394785642624,0.02982848696410656,0.11931394785642624,0.02982848696410656,0.02982848696410656,0.02982848696410656,0.01491424348205328,0.02982848696410656,0.8799403309822083,0.14914242923259735,0.08948545902967453,0.02982848696410656,0.0,0.28337061405181885,0.08948545902967453,0.22371365129947662,2.147650957107544,0.14914242923259735,0.01491424348205328,0.02982848696410656
2020-10-01,2020,10,76.08316802978516,54.33878707885742,0.05640953406691551,0.04230714961886406,0.04230714961886406,0.04230714961886406,0.05640953406691551,0.0,0.0,0.2679452896118164,0.014102383516728878,0.2679452896118164,0.028204767033457756,0.09871668368577957,0.04230714961886406,0.05640953406691551,0.3948667347431183,0.2115357518196106,0.028204767033457756,0.028204767033457756,0.0,0.11281906813383102,0.25384289026260376,0.09871668368577957,0.07051191478967667,0.11281906813383102,0.07051191478967667,0.014102383516728878,0.028204767033457756,0.028204767033457756,0.0,0.014102383516728878,0.028204767033457756,0.0,0.5499929785728455,0.11281906813383102,0.014102383516728878,0.014102383516728878,0.0,0.3243548274040222,0.028204767033457756,0.09871668368577957,1.9602313041687012,0.05640953406691551,0.028204767033457756,0.0
